,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13
22792,30,0,75167,13,7,13,0,0,0,0,55,3,0
22793,39,0,176296,6,7,4,1,0,0,1887,40,3,1
22794,19,0,93518,12,6,10,0,1,0,0,20,3,0
22795,25,0,126797,6,5,13,0,0,0,0,40,3,0
22796,57,6,25124,6,7,11,0,0,0,0,60,3,0
22797,21,0,112137,12,6,1,3,1,0,0,20,2,0
22798,30,0,58798,8,2,13,0,1,0,0,44,3,0
22799,25,6,21472,12,6,11,0,1,0,0,22,3,0
22800,32,0,90969,1,7,4,0,0,0,0,45,3,1
22801,26,0,149734,6,3,6,1,1,0,1594,40,3,0
22802,42,0,52849,12,7,12,0,0,0,0,40,3,0
22803,39,6,106347,12,4,10,0,0,0,0,47,3,0
22804,48,0,199735,13,4,2,0,1,0,0,44,1,0
22805,24,0,488541,12,6,11,1,1,0,0,35,3,0
22806,46,0,403911,1,7,6,1,0,0,0,40,3,1
22807,53,0,172991,12,7,10,0,0,0,0,25,3,0
22808,36,4,210945,12,7,3,0,0,0,0,70,3,0
22809,34,0,157446,6,4,6,0,0,0,0,45,3,0
22810,25,0,109390,6,6,4,0,0,0,0,70,3,0
22811,33,0,134886,12,6,3,0,1,99999,0,30,3,1
22812,45,0,144579,13,7,1,0,0,0,0,40,3,1
22813,31,4,203488,9,6,3,0,0,0,0,40,3,0
22814,21,0,202871,6,6,12,0,0,0,0,20,3,0
22815,33,0,175412,3,4,6,0,0,114,0,55,3,0
22816,44,0,336906,12,4,3,0,1,0,0,40,3,0
22817,34,0,177596,1,7,13,0,1,0,0,40,3,1
22818,30,0,79448,12,4,3,0,1,0,0,10,3,0
22819,32,5,191731,12,6,3,1,1,0,0,40,3,0
22820,46,0,233014,6,4,13,1,1,0,0,40,3,0
22821,29,0,133937,13,7,1,0,0,0,0,40,3,1
22822,20,0,219211,12,6,11,0,0,0,0,20,3,0
22823,35,1,94529,6,4,0,0,1,0,0,40,3,0
22824,35,0,247547,6,3,1,1,1,0,0,40,3,0
22825,29,0,29361,6,6,11,0,1,0,0,38,3,0
22826,21,0,166851,6,6,12,0,0,0,0,40,3,0
22827,43,4,197069,13,7,1,0,0,0,0,40,2,1
22828,33,0,153588,6,7,12,0,0,0,0,40,3,0
22829,61,4,151369,15,7,1,0,0,0,0,50,3,1
22830,42,0,174112,10,6,1,0,1,0,0,40,3,0
22831,33,0,520033,5,7,3,0,1,0,0,40,3,0
22832,35,1,194828,12,6,1,1,1,0,0,40,3,0
22833,32,0,216908,6,7,13,0,0,0,0,24,3,0
22834,22,0,126613,12,6,10,0,1,0,0,20,3,0
22835,61,0,26254,6,4,13,0,1,0,0,40,3,0
22836,28,0,54042,1,6,11,0,1,2463,0,35,3,0
22837,24,0,67804,6,6,11,1,0,0,0,40,3,0
22838,58,5,53481,10,6,1,0,0,0,0,35,3,0
22839,42,0,412379,6,7,14,0,0,0,0,40,3,0
22840,56,0,220187,12,7,10,0,0,0,0,45,3,1
22841,26,0,256141,12,6,13,0,1,0,0,40,3,0
22842,25,0,268222,6,3,14,1,1,0,0,40,3,0
22843,59,0,99131,6,7,3,0,1,0,0,40,3,0
22844,65,6,115498,13,7,10,0,0,3818,0,10,3,0
22845,57,0,317847,10,4,13,0,0,0,2824,50,3,1
22846,36,0,98389,9,7,13,0,0,0,0,44,3,1
22847,42,0,173704,12,7,10,0,0,0,1887,50,3,1
22848,18,0,211177,5,6,13,1,0,0,0,20,3,0
22849,18,0,115443,11,7,6,0,0,0,0,40,3,0
22850,28,0,65078,6,7,6,0,0,0,0,40,3,1
22851,20,0,24896,6,7,3,0,1,0,0,20,3,0
22852,19,0,184710,12,6,5,0,0,0,0,30,3,0
22853,28,0,410450,13,4,11,0,1,0,0,48,1,1
22854,37,0,83893,1,7,3,0,0,0,0,40,3,0
22855,23,0,113309,12,6,4,0,0,0,0,40,3,0
22856,60,0,160625,12,4,6,0,0,0,0,47,3,0
22857,17,5,340043,5,6,3,0,1,0,0,12,3,0
22858,37,5,48976,13,6,1,0,1,4865,0,45,3,0
22859,29,1,243875,1,4,3,0,0,0,0,40,3,0
22860,34,0,554206,6,3,4,1,0,0,0,20,3,0
22861,36,0,361888,12,7,6,0,0,0,0,40,3,1
22862,37,6,205359,12,7,13,0,1,0,0,15,3,0
22863,47,1,167281,13,7,11,0,0,0,0,40,3,0
22864,22,0,35663,6,6,11,0,1,0,0,40,3,0
22865,61,0,357437,6,7,11,0,0,0,0,40,3,0
22866,57,0,390856,16,7,8,0,0,0,0,45,3,0
22867,33,4,331615,14,7,1,0,0,0,1848,40,3,1
22868,54,0,202415,6,7,6,0,0,0,0,40,3,1
22869,40,0,180032,10,6,1,0,1,0,1669,40,3,0
22870,40,0,77247,5,7,6,0,0,0,0,50,3,1
