,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,Y
0,39,1,77516.0,13,6,3,0,0,2174.0,0,40.0,3,0,1
1,50,6,83311.0,13,7,13,0,0,0.0,0,13.0,3,0,5
2,38,0,215646.0,6,4,14,0,0,0.0,0,40.0,3,0,1
3,53,0,234721.0,11,7,14,1,0,0.0,0,40.0,3,0,5
4,28,0,338409.0,13,7,1,1,1,0.0,0,40.0,3,0,0
5,37,0,284582.0,10,7,13,0,1,0.0,0,40.0,3,0,0
6,49,0,160187.0,3,5,11,1,1,0.0,0,16.0,3,0,1
7,52,6,209642.0,6,7,13,0,0,0.0,0,45.0,3,1,5
8,31,0,45781.0,10,6,1,0,1,14084.0,0,50.0,3,1,1
9,42,0,159449.0,13,7,13,0,0,5178.0,0,40.0,3,1,5
10,37,0,280464.0,12,7,13,1,0,0.0,0,80.0,3,1,5
11,30,1,141297.0,13,7,1,3,0,0.0,0,40.0,2,1,5
12,23,0,122272.0,13,6,3,0,1,0.0,0,30.0,3,0,2
13,32,0,205019.0,9,6,10,1,0,0.0,0,50.0,3,0,1
14,40,0,121772.0,1,7,6,3,0,0.0,0,40.0,?,1,5
15,34,0,245487.0,8,7,4,4,0,0.0,0,45.0,3,0,5
16,25,6,176756.0,6,6,8,0,0,0.0,0,35.0,3,0,2
17,32,0,186824.0,6,6,12,0,0,0.0,0,40.0,3,0,4
18,38,0,28887.0,11,7,10,0,0,0.0,0,50.0,3,0,5
19,43,6,292175.0,10,4,13,0,1,0.0,0,45.0,3,1,4
20,40,0,193524.0,14,7,1,0,0,0.0,0,60.0,3,1,5
21,54,0,302146.0,6,3,11,1,1,0.0,0,20.0,3,0,4
22,35,4,76845.0,3,7,8,1,0,0.0,0,40.0,3,0,5
23,43,0,117037.0,11,7,4,0,0,0.0,2042,40.0,3,0,5
24,59,0,109015.0,6,4,5,0,1,0.0,0,40.0,3,0,4
25,56,5,216851.0,13,7,5,0,0,0.0,0,40.0,3,1,5
26,19,0,168294.0,6,6,6,0,0,0.0,0,40.0,3,0,2
27,54,?,180211.0,12,7,?,3,0,0.0,0,60.0,2,1,5
28,39,0,367260.0,6,4,13,0,0,0.0,0,80.0,3,0,1
29,49,0,193366.0,6,7,6,0,0,0.0,0,40.0,3,0,5
30,23,5,190709.0,9,6,0,0,0,0.0,0,52.0,3,0,1
31,20,0,266015.0,12,6,10,1,0,0.0,0,44.0,3,0,2
32,45,0,386940.0,13,4,13,0,0,0.0,1408,40.0,3,0,2
